"","rhoI","rI","beta1","beta2","hosp.noint","comm.noint"
"1",1,1,0.141027754697273,0.0109679813091535,0.0340000017778987,0.0149999937519176
"2",1,1.10526315789474,0.119766563802812,0.0110466803946782,0.0339999923683551,0.0149999938773182
"3",1,1.21052631578947,0.102080039864225,0.0111120982616146,0.0340000078261401,0.0150000054365174
"4",1,1.31578947368421,0.0871105321489378,0.0111674509808612,0.0340000106612911,0.015000004328644
"5",1,1.42105263157895,0.0742547453388274,0.0112149925248332,0.0339999951447943,0.014999998465304
"6",1,1.52631578947368,0.0630760345792253,0.0112563491008224,0.0339999946170591,0.0150000095330435
"7",1,1.63157894736842,0.053250814669189,0.0112927204212052,0.0339999995693346,0.0150000029851015
"8",1,1.73684210526316,0.044533649550593,0.0113250159283102,0.0340000102363013,0.0150000104530112
"9",1,1.84210526315789,0.0367355795846838,0.0113539330243472,0.0340000091944726,0.0150000030460504
"10",1,1.94736842105263,0.0297083171531065,0.0113800189210065,0.0339999955490609,0.0149999936295266
"11",1,2.05263157894737,0.0233340338312501,0.0114037082999025,0.0339999989885694,0.015000003503354
"12",1,2.15789473684211,0.0175180823817265,0.0114253481426041,0.0340000004005665,0.015000004938493
"13",1,2.26315789473684,0.0121833283946114,0.0114452218240517,0.0339999953637076,0.0149999938966272
"14",1,2.36842105263158,0.00726622331408908,0.0114635635216798,0.0340000018009313,0.0149999952392619
"15",1,2.47368421052632,0.00271422653191612,0.0114805649821074,0.0340000034162009,0.0149999869971116
"16",1,2.57894736842105,2.85312585113467e-07,0.0114854263489606,0.0340758625407239,0.0148300116908934
"17",1,2.68421052631579,2.10276816662726e-09,0.0114716116273706,0.0342648625183574,0.0143836696618302
"18",1,2.78947368421053,4.16733936737532e-10,0.0114586397345763,0.034431730862662,0.0139615471403663
"19",1,2.89473684210526,8.78121255059593e-10,0.0114464446288323,0.0345785584162518,0.0135618043009721
"20",1,3,8.31389726201636e-09,0.0114349805606267,0.0347083179613998,0.0131831805198988
"21",1.10526315789474,1,0.130033039718227,0.011008547886749,0.033999998810239,0.0150000010394001
"22",1.10526315789474,1.10526315789474,0.108779033024146,0.0110872123886083,0.0340000056346723,0.0149999978005834
"23",1.10526315789474,1.21052631578947,0.0910851965833824,0.011152669797947,0.0339999929561491,0.0149999947640637
"24",1.10526315789474,1.31578947368421,0.076097679880639,0.0112081166622756,0.0339999977092084,0.0149999990058914
"25",1.10526315789474,1.42105263157895,0.0632159443306509,0.0112557912109201,0.033999997025958,0.0149999941340863
"26",1.10526315789474,1.52631578947368,0.0520052178292264,0.0112973095650225,0.0339999892322275,0.0149999877098706
"27",1.10526315789474,1.63157894736842,0.0421431465532272,0.0113338654916135,0.033999999328692,0.0149999844637217
"28",1.10526315789474,1.73684210526316,0.03338536666491,0.0113663632357482,0.0339999966187506,0.0149999951361346
"29",1.10526315789474,1.84210526315789,0.025543851126443,0.0113954947153558,0.0340000040356857,0.0149999935930577
"30",1.10526315789474,1.94736842105263,0.0184707495561247,0.011421805712109,0.0340000002592881,0.0150000051145536
"31",1.10526315789474,2.05263157894737,0.012049167400589,0.0114457245270703,0.0340000085997667,0.0149999895139886
"32",1.10526315789474,2.15789473684211,0.00618416541590285,0.0114676016090614,0.0339999909072108,0.0149999974584399
"33",1.10526315789474,2.26315789473684,0.00079941169982918,0.011487715892946,0.034000004038135,0.0149999910469265
"34",1.10526315789474,2.36842105263158,3.69241947130656e-09,0.0114772969539003,0.0341883349405938,0.0145680429098553
"35",1.10526315789474,2.47368421052632,4.29552066023583e-10,0.011462412338912,0.0343842144692138,0.0140849596507701
"36",1.10526315789474,2.57894736842105,1.18393463838591e-08,0.0114485205185665,0.0345538695948667,0.0136304183819366
"37",1.10526315789474,2.68421052631579,4.35532402507701e-09,0.0114355495997076,0.0347010760896988,0.0132024532636512
"38",1.10526315789474,2.78947368421053,4.06394688833382e-09,0.0114234414251738,0.0348297862032842,0.0127994785301922
"39",1.10526315789474,2.89473684210526,3.99024106714957e-09,0.0114121096593815,0.034940897953646,0.0124190514542393
"40",1.10526315789474,3,4.6636091265365e-09,0.0114015443539825,0.035040691437155,0.0120609772351336
"41",1.21052631578947,1,0.119120268770165,0.0110488315111392,0.033999999120824,0.0150000023089668
"42",1.21052631578947,1.10526315789474,0.0978715586271376,0.0111274810447125,0.0339999936714682,0.0149999983207829
"43",1.21052631578947,1.21052631578947,0.0801689054665102,0.0111929951586015,0.0340000057426417,0.0150000039522186
"44",1.21052631578947,1.31578947368421,0.0651620781237585,0.0112485500178828,0.033999993347006,0.0150000053193692
"45",1.21052631578947,1.42105263157895,0.052253218022762,0.011296370735595,0.0339999882678023,0.0150000025942769
"46",1.21052631578947,1.52631578947368,0.0410093686616472,0.0113380633179067,0.0340000055128029,0.0150000157460787
"47",1.21052631578947,1.63157894736842,0.0311097254641713,0.0113748132636593,0.034000012600872,0.0150000039383987
"48",1.21052631578947,1.73684210526316,0.0223109326449197,0.0114075191903157,0.0340000060470469,0.0149999897403857
"49",1.21052631578947,1.84210526315789,0.0144253226941009,0.0114368731214823,0.0340000055522599,0.0149999978045804
"50",1.21052631578947,1.94736842105263,0.00730605997206479,0.0114634143136176,0.0339999933307605,0.0150000039448037
"51",1.21052631578947,2.05263157894737,0.000836386335258505,0.0114875716904754,0.0340000076360231,0.0150000180497438
"52",1.21052631578947,2.15789473684211,2.27202363336483e-09,0.0114755480017923,0.0342120137064988,0.0145117469518346
"53",1.21052631578947,2.26315789473684,6.62548100058507e-10,0.0114592228831585,0.0344238415852315,0.0139812298533796
"54",1.21052631578947,2.36842105263158,5.85797770877454e-14,0.0114440990057906,0.0346049302962997,0.0134852576513531
"55",1.21052631578947,2.47368421052632,4.40984883634646e-12,0.0114300828269242,0.0347603483663872,0.0130212682091877
"56",1.21052631578947,2.57894736842105,2.2876020864609e-08,0.0114170739075151,0.0348933396556859,0.0125864715626521
"57",1.21052631578947,2.68421052631579,2.09936123888957e-11,0.0114049933040996,0.0350074902233045,0.0121786662600455
"58",1.21052631578947,2.78947368421053,6.65524914701775e-09,0.0113937723037709,0.0351062946348156,0.0117959550486732
"59",1.21052631578947,2.89473684210526,1.34207791046217e-11,0.011383313507338,0.0351896836385608,0.0114355550057779
"60",1.21052631578947,3,1.00496656163197e-08,0.0113735700272748,0.0352609860248055,0.0110961648274993
"61",1.31578947368421,1,0.108287231288852,0.011088843860107,0.0340000022856678,0.0150000080800585
"62",1.31578947368421,1.10526315789474,0.087042175061101,0.0111674955163501,0.0340000067697079,0.014999993831852
"63",1.31578947368421,1.21052631578947,0.0693291175246087,0.0112330818172507,0.0339999985975245,0.0149999932021191
"64",1.31578947368421,1.31578947368421,0.0543017442629086,0.0112887583165533,0.034000000701869,0.0149999972113706
"65",1.31578947368421,1.42105263157895,0.0413645469297833,0.0113367376758336,0.0339999871921893,0.015000005146174
"66",1.31578947368421,1.52631578947368,0.0300869087391234,0.0113786126775717,0.0340000063865723,0.0149999965269122
"67",1.31578947368421,1.63157894736842,0.0201485308712122,0.0114155679797318,0.0339999923377242,0.0150000090775931
"68",1.31578947368421,1.73684210526316,0.0113078936582022,0.011448491720906,0.0339999947379056,0.0149999977229941
"69",1.31578947368421,1.84210526315789,0.00337785279547235,0.0114780735019051,0.033999996472003,0.0149999955260287
"70",1.31578947368421,1.94736842105263,7.75716836949871e-11,0.011480162358728,0.0341488598326166,0.0146610938724617
"71",1.31578947368421,2.05263157894737,3.91093771294203e-10,0.0114619190851446,0.0343900953806967,0.0140694258844346
"72",1.31578947368421,2.15789473684211,1.42286166347892e-10,0.0114451411234058,0.0345931797467907,0.0135198360766609
"73",1.31578947368421,2.26315789473684,2.12106874814326e-10,0.0114296951651572,0.034764217440635,0.0130086677934301
"74",1.31578947368421,2.36842105263158,1.66088674012824e-09,0.0114154667062492,0.0349088063562495,0.0125327654917383
"75",1.31578947368421,2.47368421052632,2.88582055727823e-09,0.0114023424660541,0.0350309320914095,0.0120889738430541
"76",1.31578947368421,2.57894736842105,4.0999689691004e-10,0.0113902313283726,0.0351347932792167,0.0116747454411846
"77",1.31578947368421,2.68421052631579,1.16310645981533e-10,0.0113790374427244,0.0352228414988678,0.0112873787103396
"78",1.31578947368421,2.78947368421053,3.77649214955773e-08,0.0113686745026406,0.0352970726673787,0.0109244413593329
"79",1.31578947368421,2.89473684210526,6.72168179281585e-09,0.0113590739546569,0.0353597803946906,0.0105839667023292
"80",1.31578947368421,3,1.8831847623464e-09,0.0113501885464977,0.0354145753114479,0.010264648986797
"81",1.42105263157895,1,0.0975318912947502,0.0111285948334665,0.0340000090342952,0.0150000135731073
"82",1.42105263157895,1.10526315789474,0.0762885105428951,0.0112072673489055,0.0340000002834822,0.0149999943337357
"83",1.42105263157895,1.21052631578947,0.058563524101829,0.0112729413681244,0.0340000087343923,0.0150000005979733
"84",1.42105263157895,1.31578947368421,0.0435143120917275,0.011328752139884,0.0339999959733783,0.0149999916886056
"85",1.42105263157895,1.42105263157895,0.0305478479670522,0.0113768999345004,0.0340000069490484,0.0150000039285611
"86",1.42105263157895,1.52631578947368,0.0192351349326079,0.011418969308297,0.0339999942208362,0.0149999960380546
"87",1.42105263157895,1.63157894736842,0.00925767643137399,0.0114561358421984,0.0340000031829539,0.015000003687252
"88",1.42105263157895,1.73684210526316,0.000374446299039102,0.0114892851248466,0.0339999937776007,0.0149999953358202
"89",1.42105263157895,1.84210526315789,2.34835957079805e-10,0.0114708290785312,0.0342746057896142,0.0143593460068318
"90",1.42105263157895,1.94736842105263,1.01559518783998e-09,0.0114518230229295,0.0345139484761271,0.0137396316728375
"91",1.42105263157895,2.05263157894737,3.88980379275681e-10,0.0114344609479241,0.0347126259143655,0.0131672280355605
"92",1.42105263157895,2.15789473684211,4.10117138239518e-09,0.0114185848771535,0.0348779160383124,0.0126377873992502
"93",1.42105263157895,2.26315789473684,6.24486633783111e-10,0.0114040480563041,0.0350154411504111,0.0121472289044095
"94",1.42105263157895,2.36842105263158,4.53811743752752e-10,0.0113907312778296,0.0351308682254961,0.0116922412819382
"95",1.42105263157895,2.47368421052632,1.38215634325127e-07,0.0113784936463814,0.0352260731269754,0.0112688482024504
