"rhoI","rI","hospital","community","cases.averted","baseline.cases","intervention.cases","prop.cases.averted","mult1.noint.cases","mult1.int.cases","treatment","rel.value"
1,1,0.0127181256460643,0.00777477350658594,597.723079402649,8223.9132140646,7626.19013466195,0.0726811025170376,8223.9132140646,7626.19013466195,"transmission reduction",0
1,1.10526315789474,0.0157014553928028,0.00918906354272405,489.491406358124,8223.76917015783,7734.2777637997,0.0595215400906893,8223.9132140646,7626.19013466195,"transmission reduction",1.31595624263483
1,1.21052631578947,0.018259409576128,0.0102906379511826,402.743575523486,8223.64890220455,7820.90532668107,0.0489738290523955,8223.9132140646,7626.19013466195,"transmission reduction",2.37072734646422
1,1.31578947368421,0.0204769019095922,0.0111657834575318,332.168685633552,8223.53605798252,7891.36737234897,0.040392439856954,8223.9132140646,7626.19013466195,"transmission reduction",3.22886626600836
1,1.42105263157895,0.0224174569561172,0.0118726345644399,274.002050477815,8223.43245700377,7949.43040652595,0.0333196693607487,8223.9132140646,7626.19013466195,"transmission reduction",3.93614331562889
1,1.52631578947368,0.0241296142241352,0.0124516239669813,225.51493788943,8223.34826292592,7997.83332503649,0.0274237367406826,8223.9132140646,7626.19013466195,"transmission reduction",4.5257365776355
1,1.63157894736842,0.0256510489537645,0.0129315716456598,184.690655895237,8223.26409950244,8038.5734436072,0.0224595311132488,8223.9132140646,7626.19013466195,"transmission reduction",5.02215714037888
1,1.73684210526316,0.0270116040744041,0.0133336046534121,150.010000060141,8223.19429209593,8073.18429203579,0.0182423027757389,8223.9132140646,7626.19013466195,"transmission reduction",5.44387997412987
1,1.84210526315789,0.028235159277641,0.0136734360611804,120.313532048403,8223.12329113309,8102.80975908469,0.014631123453802,8223.9132140646,7626.19013466195,"transmission reduction",5.80499790632357
1,1.94736842105263,0.0293411079769607,0.0139630149537981,94.7019270135688,8223.05671593387,8128.3547889203,0.0115166330824478,8223.9132140646,7626.19013466195,"transmission reduction",6.11644694345897
1,2.05263157894737,0.0303454014801852,0.0142115704257044,72.4697648920601,8223.00556728936,8150.5358023973,0.00881305069041186,8223.9132140646,7626.19013466195,"transmission reduction",6.38680518266258
1,2.15789473684211,0.0312611436785897,0.014426245950671,53.0577826144945,8222.95412950528,8169.89634689079,0.00645239919606442,8223.9132140646,7626.19013466195,"transmission reduction",6.62287033209732
1,2.26315789473684,0.0320993482166929,0.0146127284311624,36.0172245018248,8222.89994402785,8186.88271952603,0.00438011221673486,8223.9132140646,7626.19013466195,"transmission reduction",6.83009903003028
1,2.36842105263158,0.0328693131254833,0.0147755882497707,20.9845254745978,8222.85611909445,8201.87159361985,0.00255197527120404,8223.9132140646,7626.19013466195,"transmission reduction",7.01291272458336
1,2.47368421052632,0.0335788414670439,0.0149184591006884,7.66348925519014,8222.80997843883,8215.14648918364,0.000931979369009463,8223.9132140646,7626.19013466195,"transmission reduction",7.17491231480282
1,2.57894736842105,0.0340758328829289,0.0148300099633185,0.000797407901700353,8131.78173721312,8131.78093980522,9.80606621610624e-08,8223.9132140646,7626.19013466195,"transmission reduction",7.26810044563755
1.10526315789474,1,0.0148460356182251,0.00867023779127012,528.004016569449,8223.8450063299,7695.84098976045,0.064204033048172,8223.9132140646,7626.19013466195,"transmission reduction",0.847706946886562
1.10526315789474,1.10526315789474,0.0178339129378661,0.00999247969978191,424.937278732766,8223.69733971722,7798.76006098445,0.0516722905985956,8223.9132140646,7626.19013466195,"transmission reduction",2.10088119184421
1.10526315789474,1.21052631578947,0.0203806728617303,0.0110181023620711,342.775006742139,8223.56728197883,7880.79227523669,0.0416820334763112,8223.9132140646,7626.19013466195,"transmission reduction",3.09990690407265
1.10526315789474,1.31578947368421,0.0225766663076411,0.0118296174095542,276.273066940153,8223.4557652581,7947.18269831795,0.0335957381940731,8223.9132140646,7626.19013466195,"transmission reduction",3.90853643229645
1.10526315789474,1.42105263157895,0.0244889363424738,0.0124824227383848,221.731463908766,8223.3514116982,8001.61994778943,0.0269636371848758,8223.9132140646,7626.19013466195,"transmission reduction",4.57174653321618
1.10526315789474,1.52631578947368,0.0261684526685213,0.013014988167466,176.479519698595,8223.25719490627,8046.77767520767,0.0214610239611515,8223.9132140646,7626.19013466195,"transmission reduction",5.12200785558861
1.10526315789474,1.63157894736842,0.0276545987259647,0.0134546996562036,138.551229691826,8223.17300498498,8084.62177529315,0.0168488769004172,8223.9132140646,7626.19013466195,"transmission reduction",5.58322256166204
1.10526315789474,1.73684210526316,0.0289783984974075,0.0138215746568741,106.472027048701,8223.10441690654,8116.63238985784,0.0129479113544753,8223.9132140646,7626.19013466195,"transmission reduction",5.97331911625623
