"sigma","delta1","delta2","rSL","rH","rI","rhoH","rhoI","gamma1n","gamma1c","gamma2n","gamma2c","assumption","p1","p2","q1","q2","old.beta1","beta2","eqprev.hosp.noint","eqprev.comm.noint"
1,0,0,0.222222222222222,1,1,1,1,0.00359712230215827,0.00359712230215827,0.00359712230215827,0.00359712230215827,"homogen",0.15,0.15,0.2,0.2,0.127450686687506,0.00311860413070432,0.0340000034366211,0.0149999932654227
1,0,0,0.222222222222222,1,1,1,1,0.0333333333333333,0.00273972602739726,0.0333333333333333,0.00273972602739726,"heterogen",0.15,0.15,0.2,0.2,0.143380909259547,0.0101420684437234,0.0339999870650526,0.0149999938466933
0.51,0.35,0.167,0.242130750605327,1.2590799031477,1,3,1,0.0333333333333333,0.00273972602739726,0.0333333333333333,0.00273972602739726,"baseline",0.399112503721319,0.149547068175052,0.2,0.2,0.141174887284667,0.0109663959948789,0.0340000013016374,0.0150000007468719
1,0,0,0.223914017017465,1,1.22391401701747,1,1,0.0333333333333333,0.00273972602739726,0.0333333333333333,0.00273972602739726,"inf_los",0.15,0.15,0.2,0.2,0.101353635576594,0.0103116197166603,0.033999996091507,0.0150000017072729
1,0,0,0.222222222222222,1,1,1,1.3,0.0333333333333333,0.00273972602739726,0.0333333333333333,0.00273972602739726,"inf_adm",0.15,0.15,0.2,0.2,0.110902571916463,0.0102730391718618,0.0340000031142378,0.0150000251898768
1,0,0,0.223914017017465,1,1.22391401701747,1,1.3,0.0333333333333333,0.00273972602739726,0.0333333333333333,0.00273972602739726,"inf_both",0.15,0.15,0.2,0.2,0.0684100186639638,0.0104445386946222,0.034000003609089,0.015000009225336
