"decol.rate","R0","hospital","community","cases.averted","baseline.cases","prop.cases.averted","assumption"
0.2,NA,8.75839177180953e-10,1.10942295198296e-09,3198.08506187641,8223.94146155396,0.388874978844039,"homogen"
0.191780821917808,NA,6.15083601507398e-10,7.59500168801064e-10,3164.38627733678,8223.94146155396,0.384777334825393,"homogen"
0.183561643835616,NA,9.53717178002476e-10,1.14266210001015e-09,3128.41007962061,8223.94146155396,0.380402766027165,"homogen"
0.175342465753425,NA,7.45469323913663e-10,8.67236172496839e-10,3089.92011659633,8223.94146155396,0.375722532929177,"homogen"
0.167123287671233,NA,9.43873467423174e-10,1.06547734068604e-09,3048.64696043917,8223.94146155396,0.370703874132771,"homogen"
0.158904109589041,NA,9.0386115014839e-10,9.89090764331208e-10,3004.28129581021,8223.94146155396,0.365309178069288,"homogen"
0.150684931506849,NA,1.25849334579532e-09,1.33366289599299e-09,2956.46700728439,8223.94146155396,0.359495142457611,"homogen"
0.142465753424658,NA,1.01364650085071e-09,1.03912196717386e-09,2904.79193047568,8223.94146155396,0.353211649676165,"homogen"
0.134246575342466,NA,3.53789826992512e-10,4.05837311285587e-10,2848.77654411703,8223.94146155396,0.346400391762849,"homogen"
0.126027397260274,NA,1.45507343922209e-09,1.39086874196716e-09,2787.8598570871,8223.94146155396,0.338993154331174,"homogen"
0.117808219178082,NA,1.06330547425698e-09,9.79524743241956e-10,2721.38165791417,8223.94146155396,0.330909658177449,"homogen"
0.10958904109589,NA,1.66268638643026e-09,1.47466655318944e-09,2648.56000641043,8223.94146155396,0.322054822349133,"homogen"
0.101369863013699,NA,1.57708658510797e-09,1.34333385357969e-09,2568.46243886533,8223.94146155396,0.312315262805871,"homogen"
0.0931506849315069,NA,2.48927152487961e-09,2.03382050040312e-09,2479.96879864966,8223.94146155396,0.301554772762336,"homogen"
0.0849315068493151,NA,2.71918612153664e-11,2.18853607729233e-11,2381.72278127988,8223.94146155396,0.289608430752356,"homogen"
0.0767123287671233,NA,4.14620597578646e-10,3.03533528794593e-10,2272.06811202884,8223.94146155396,0.276274840069146,"homogen"
0.0684931506849315,NA,9.89426542686014e-10,6.97778050838027e-10,2148.96356298184,8223.94146155396,0.261305795162577,"homogen"
0.0602739726027397,NA,2.01106785009301e-09,1.36314249681441e-09,2009.86849220113,8223.94146155396,0.244392363636955,"homogen"
0.052054794520548,NA,3.98692832126322e-09,2.55605214173417e-09,1851.58682283432,8223.94146155396,0.225145914704074,"homogen"
0.0438356164383562,NA,1.31699700010492e-09,8.02441699963626e-10,1670.05177337235,8223.94146155396,0.203071943201403,"homogen"
0.0356164383561644,NA,8.02041001394694e-09,4.59683694907229e-09,1460.02515816315,8223.94146155396,0.177533505678343,"homogen"
0.0273972602739726,NA,9.83477901878686e-09,5.29435666200139e-09,1214.67221658576,8223.94146155396,0.147699521241028,"homogen"
0.0191780821917808,NA,4.43490008420635e-09,2.23714068372197e-09,924.954358677674,8223.94146155396,0.112470931730453,"homogen"
0.010958904109589,NA,2.34920212831866e-07,1.10073095446272e-07,578.75417796487,8223.94146155396,0.0703743066108244,"homogen"
0.00273972602739726,NA,0.0244320682453645,0.0109314634439294,159.611313236135,8223.94146155396,0.0194081285697741,"homogen"
0.2,NA,3.21705179344729e-09,4.01711382158687e-09,2068.47136076789,8223.93663143504,0.251518397267484,"heterogen"
0.191780821917808,NA,3.06573802209929e-09,3.72376845513362e-09,2038.46336676241,8223.93663143504,0.247869537195924,"heterogen"
0.183561643835616,NA,3.48110775366549e-09,4.10989025905099e-09,2006.7538037837,8223.93663143504,0.244013772688024,"heterogen"
0.175342465753425,NA,3.91236950037692e-09,4.4858620544151e-09,1973.19220554426,8223.93663143504,0.23993280760481,"heterogen"
0.167123287671233,NA,3.69598919391553e-09,4.11187773932615e-09,1937.60974061757,8223.93663143504,0.235606112674954,"heterogen"
0.158904109589041,NA,4.44064385693316e-09,4.78903076005168e-09,1899.81631989101,8223.93663143504,0.231010573771833,"heterogen"
0.150684931506849,NA,4.28556476457857e-09,4.47729334965582e-09,1859.59712791534,8223.93663143504,0.226120070138582,"heterogen"
0.142465753424658,NA,4.61288157702664e-09,4.66034821085352e-09,1816.70848668621,8223.93663143504,0.220904971439354,"heterogen"
0.134246575342466,NA,5.19278470878008e-09,5.06919440541889e-09,1770.87284454052,8223.93663143504,0.21533152842783,"heterogen"
0.126027397260274,NA,4.57225823105667e-09,4.30772119910866e-09,1721.7726923696,8223.93663143504,0.209361133181441,"heterogen"
0.117808219178082,NA,6.73081462582876e-09,6.11159339663683e-09,1669.04314381539,8223.93663143504,0.202949416880922,"heterogen"
0.10958904109589,NA,8.65406770897804e-09,7.56281756833483e-09,1612.26279835838,8223.93663143504,0.196045138795901,"heterogen"
0.101369863013699,NA,7.80375585054356e-09,6.55364382840454e-09,1550.94244272396,8223.93663143504,0.18858881241809,"heterogen"
0.0931506849315069,NA,1.13246543843269e-08,9.12443150215925e-09,1484.51096459518,8223.93663143504,0.18051099262132,"heterogen"
0.0849315068493151,NA,1.26000556348416e-08,9.72256472266378e-09,1412.29766168998,8223.93663143504,0.171730124511373,"heterogen"
0.0767123287671233,NA,7.49887695201427e-09,5.53153307278492e-09,1333.50985941928,8223.93663143504,0.162149821816731,"heterogen"
0.0684931506849315,NA,3.16946597653963e-08,2.2298485447412e-08,1247.2043358895,8223.93663143504,0.151655392275544,"heterogen"
0.0602739726027397,NA,2.2349804775685e-08,1.49617091365025e-08,1152.25057010832,8223.93663143504,0.140109368754615,"heterogen"
