"beta.int","R0","hospital","community","cases.averted","baseline.cases","prop.cases.averted","assumption"
0,1.02071299866371,0.0340000094478253,0.0150000129987193,0,8223.94146155396,0,"homogen"
0.0416666666666667,1.00922274942438,0.0153775958159249,0.00697631254938471,300.408616199752,8223.94146155396,0.0365285450539902,"homogen"
0.0833333333333333,0.998375260549163,2.19277951171623e-07,1.02777028988802e-07,565.409153282483,8223.94146155396,0.0687516023704339,"homogen"
0.125,0.988153345735694,2.91826477532032e-08,1.43595447323715e-08,800.26132876374,8223.94146155396,0.0973087335926301,"homogen"
0.166666666666667,0.978536251923116,1.45608952701202e-08,7.50512810430977e-09,1009.36120797159,8223.94146155396,0.122734483542988,"homogen"
0.208333333333333,0.969500307196552,7.61058608354249e-09,4.0919997052116e-09,1196.37937998571,8223.94146155396,0.145475181891633,"homogen"
0.25,0.961019598618912,9.21306814140942e-11,5.54219187942593e-11,1364.38339407651,8223.94146155396,0.165903830961693,"homogen"
0.291666666666667,0.953066641168316,5.56575752696869e-09,3.25945450276765e-09,1515.94242182324,8223.94146155396,0.184332832244747,"homogen"
0.333333333333333,0.945613006035395,4.12668438033409e-09,2.51332040058882e-09,1653.21479240802,8223.94146155396,0.201024630359618,"homogen"
0.375,0.938629885221745,3.40033422644221e-09,2.14706323843171e-09,1778.02023282622,8223.94146155396,0.216200497187179,"homogen"
0.416666666666667,0.932088578268423,3.23950278039532e-09,2.12479830872944e-09,1891.89917451701,8223.94146155396,0.230047743331034,"homogen"
0.458333333333333,0.925960894964579,3.93242876358443e-09,2.67146570092833e-09,1996.16093384238,8223.94146155396,0.242725576680502,"homogen"
0.5,0.920219474399755,2.51166568605085e-09,1.76516313974187e-09,2091.92319464227,8223.94146155396,0.254369903339146,"homogen"
0.541666666666667,0.914838025481626,3.0131033415522e-09,2.18825399791143e-09,2180.14410557797,8223.94146155396,0.265097230539627,"homogen"
0.583333333333333,0.909791497097245,3.00461746459948e-09,2.25257692891609e-09,2261.64851541863,8223.94146155396,0.275007856754769,"homogen"
0.625,0.905056187689847,2.65368355477226e-09,2.05175127942423e-09,2337.14945206707,8223.94146155396,0.284188483465379,"homogen"
0.666666666666667,0.900609804479596,2.20920041839326e-09,1.75992928040197e-09,2407.26576084557,8223.94146155396,0.292714359908723,"homogen"
0.708333333333333,0.896431482208798,2.34038536722358e-09,1.91936973983785e-09,2472.5366403229,8223.94146155396,0.300651050579791,"homogen"
0.75,0.892501770436614,2.27334696375923e-09,1.91781679145859e-09,2533.43366228445,8223.94146155396,0.308055896813952,"homogen"
0.791666666666667,0.888802597283237,1.99693788204547e-09,1.73147159834152e-09,2590.37075028235,8223.94146155396,0.314979230140688,"homogen"
0.833333333333333,0.885317216303701,1.74998281724933e-09,1.55838387535065e-09,2643.71249289854,8223.94146155396,0.321465383144762,"homogen"
0.875,0.882030141975143,8.49353787638254e-10,7.58374453231415e-10,2693.78110169379,8223.94146155396,0.327553535526356,"homogen"
0.916666666666667,0.87892707818008,1.53869815783393e-09,1.44986807866862e-09,2740.86225090028,8223.94146155396,0.333278424185474,"homogen"
0.958333333333333,0.875994843099281,1.12847444281872e-09,1.09176669899869e-09,2785.21000195915,8223.94146155396,0.338670942026972,"homogen"
1,0.873221293103833,1.32200249082775e-09,1.3018616602907e-09,2827.05097044527,8223.94146155396,0.343758644642771,"homogen"
0,1.04578861823231,0.0340000077572017,0.0150000040004009,0,8223.93663143504,0,"heterogen"
0.0416666666666667,1.04111626919107,0.0293489608525064,0.0135664910033262,123.164010155215,8223.93663143504,0.0149762839470862,"heterogen"
0.0833333333333333,1.03681395439059,0.0252561382631775,0.0122204488474283,234.000334331539,8223.93663143504,0.0284535672900373,"heterogen"
0.125,1.0328472301882,0.0216611951732144,0.0109593062090203,334.121864562382,8223.93663143504,0.0406279716802827,"heterogen"
0.166666666666667,1.029184660367,0.0185066709601182,0.00977940823035298,424.898852537467,8223.93663143504,0.0516661146090718,"heterogen"
0.208333333333333,1.0257977112652,0.0157393614733333,0.00867640368554503,507.496859624632,8223.93663143504,0.0617097239884831,"heterogen"
0.25,1.02266059087381,0.013310994941791,0.00764554645047137,582.909442527681,8223.93663143504,0.0708796126054251,"heterogen"
0.291666666666667,1.01975005568286,0.0111785041705397,0.00668197213408987,651.985852335144,8223.93663143504,0.0792790462225844,"heterogen"
0.333333333333333,1.01704520273635,0.00930386219336346,0.00578084820733315,715.454257379092,8223.93663143504,0.0869965673913818,"heterogen"
0.375,1.01452725915711,0.00765378633611214,0.00493750589492733,773.941115666464,8223.93663143504,0.0941083510673178,"heterogen"
0.416666666666667,1.01217937733423,0.00619929819868212,0.00414750482917686,827.987269391087,8223.93663143504,0.100680161642565,"heterogen"
0.458333333333333,1.00998644090576,0.0049152721696604,0.00340668172321708,878.0613162961,8223.93663143504,0.10676897885373,"heterogen"
0.5,1.0079348844479,0.00377996240291438,0.00271116101377144,924.570709736247,8223.93663143504,0.112424347508003,"heterogen"
0.541666666666667,1.00601252822311,0.00277457328838631,0.00205736042396559,967.870992255815,8223.93663143504,0.11768950025177,"heterogen"
0.583333333333333,1.00420842828366,0.00188291292695126,0.00144202143071433,1008.27348675329,8223.93663143504,0.12260229278753,"heterogen"
0.625,1.00251274154398,0.0010909431623419,0.000862124747799557,1046.05172334816,8223.93663143504,0.12719598535691,"heterogen"
0.666666666666667,1.00091660501805,0.000386723494785944,0.000315073700772788,1081.44681023908,8223.93663143504,0.131499895816972,"heterogen"
