"","rhoI","rI","beta1","beta2","hosp.noint","comm.noint"
"1",1,1,0.141007357978323,0.010968247250122,0.0339996952720645,0.0150028248206534
"2",1,1.10526315789474,0.119759867759136,0.0110467363759562,0.0339983293930405,0.0150001959074261
"3",1,1.21052631578947,0.102077743572998,0.0111121546075803,0.0340017850290121,0.0150011563067564
"4",1,1.31578947368421,0.0870622732597488,0.0111678911672601,0.0339936505737996,0.0150040111389301
"5",1,1.42105263157895,0.0742496285290672,0.0112150199745237,0.0339982698211049,0.0149999387410444
"6",1,1.52631578947368,0.0630975613991927,0.0112561704020442,0.0340027734172721,0.0149982220734047
"7",1,1.63157894736842,0.0532499260938969,0.0112927618718322,0.0340020469476994,0.0150010624591138
"8",1,1.73684210526316,0.0445262246557236,0.0113250429322353,0.0339971777583465,0.0149997632234616
"9",1,1.84210526315789,0.0367203004408689,0.01135410434618,0.0340017891599988,0.015002945885827
"10",1,1.94736842105263,0.0297161142616622,0.0113799673365345,0.0340012356828603,0.0149994740076048
"11",1,2.05263157894737,0.0233311441359783,0.0114037458256314,0.0340007576008216,0.0150007463827555
"12",1,2.15789473684211,0.0175061491777564,0.0114254609362481,0.0340006076395836,0.0150019180507478
"13",1,2.26315789473684,0.0121919812718263,0.0114450623505865,0.0339944584122998,0.0149963079501684
"14",1,2.36842105263158,0.00728686272614944,0.0114633174923479,0.0339951667317479,0.0149950081201449
"15",1,2.47368421052632,0.0026546185231164,0.0114809538607149,0.0339939391505581,0.0150052952057184
"16",1,2.57894736842105,1.11234073689539e-06,0.0114853463787244,0.0340710681312369,0.0148277650843753
"17",1,2.68421052631579,6.54104287724007e-08,0.0114716090813362,0.0342647202488793,0.0143835997802496
"18",1,2.78947368421053,1.90077257209229e-06,0.0114584643179681,0.0344204861849547,0.0139566194690069
"19",1,2.89473684210526,2.24130187197622e-05,0.0114460352881396,0.0345623673765402,0.0135522773142061
"20",1,3,1.21018357647204e-07,0.0114349993545946,0.0347098042720183,0.0131837443989867
"21",1.10526315789474,1,0.130037170847095,0.0110084611071022,0.0339977780680696,0.0149984278352065
"22",1.10526315789474,1.10526315789474,0.10875942628901,0.0110873823434437,0.0339968161742127,0.0150011158241906
"23",1.10526315789474,1.21052631578947,0.0910679504001771,0.011152852695575,0.033999849689756,0.0150021915059023
"24",1.10526315789474,1.31578947368421,0.0760799770935881,0.0112083021669495,0.0340002703530133,0.0150024338909445
"25",1.10526315789474,1.42105263157895,0.0632344871343062,0.0112555745984634,0.0339978021300959,0.0149965869219654
"26",1.10526315789474,1.52631578947368,0.0520047986240475,0.0112973456586469,0.0340020149064859,0.0150009641690546
"27",1.10526315789474,1.63157894736842,0.0421140149053026,0.0113341256901811,0.0339997225245153,0.0150035958450928
"28",1.10526315789474,1.73684210526316,0.0333904751524735,0.0113662649127274,0.0339966000145205,0.0149978024804431
"29",1.10526315789474,1.84210526315789,0.0255143279749704,0.0113956882250127,0.0339963107188297,0.0150020629774748
"30",1.10526315789474,1.94736842105263,0.0184651329245048,0.0114218522090527,0.0339999982444448,0.0150007124412412
"31",1.10526315789474,2.05263157894737,0.0120562310811249,0.0114456509403941,0.0339989441729772,0.0149986226344069
"32",1.10526315789474,2.15789473684211,0.00617463410564788,0.0114676301808998,0.0339970003725372,0.0149998353355078
"33",1.10526315789474,2.26315789473684,0.000769690330202072,0.0114879755117,0.0340020080532734,0.0150045803698916
"34",1.10526315789474,2.36842105263158,5.94887396833793e-08,0.0114772737167612,0.0341868122749307,0.0145673709908621
"35",1.10526315789474,2.47368421052632,1.70813774517669e-07,0.0114623664594843,0.0343811122307773,0.0140836368777076
"36",1.10526315789474,2.57894736842105,2.52848283406144e-07,0.0114485854158228,0.0345587095276213,0.0136323447324343
"37",1.10526315789474,2.68421052631579,1.39884484373608e-07,0.0114354469921967,0.0346934494759307,0.0131994608120534
"38",1.10526315789474,2.78947368421053,3.53475120065496e-08,0.0114233276536588,0.0348209418245191,0.0127961397094179
"39",1.10526315789474,2.89473684210526,1.72161227190449e-07,0.0114122290141422,0.0349506349088911,0.0124225830299076
