"beta.int","decol.rate","hospital","community","cases.averted","assumption"
0,0.00273972602739726,0.0244320638239262,0.0109314655349521,159.61121205269,"Homogeneous"
0,0.010958904109589,9.63105750376613e-08,4.5126718403029e-08,578.753829813802,"Homogeneous"
0,0.0191780821917808,1.69448600181468e-08,8.52805500104416e-09,924.953828938897,"Homogeneous"
0,0.0273972602739726,1.01053460586093e-08,5.43996604054947e-09,1214.67155199817,"Homogeneous"
0,0.0356164383561644,7.49721993026123e-09,4.30021438710963e-09,1460.02439247839,"Homogeneous"
0,0.0438356164383562,4.94659703800541e-09,3.0078484469833e-09,1670.05093124205,"Homogeneous"
0,0.052054794520548,1.93796030151597e-09,1.24601433801155e-09,1851.58592247407,"Homogeneous"
0,0.0602739726027397,3.51076722341674e-09,2.37958007564401e-09,2009.86754722426,"Homogeneous"
0,0.0684931506849315,2.47805754466501e-09,1.76600179726577e-09,2148.96258367191,"Homogeneous"
0,0.0767123287671233,2.30532624388038e-09,1.72297518363343e-09,2272.06710623216,"Homogeneous"
0,0.0849315068493151,1.72129246382335e-09,1.34649919779911e-09,2381.72175503723,"Homogeneous"
0,0.0931506849315069,9.36904954844561e-10,7.62964435779292e-10,2479.96775665187,"Homogeneous"
0,0.101369863013699,2.27427806594142e-09,1.93718940690448e-09,2568.46138478154,"Homogeneous"
0,0.10958904109589,1.14236345124731e-09,1.0127520418799e-09,2648.55894312954,"Homogeneous"
0,0.117808219178082,1.16582975458069e-09,1.07376054839408e-09,2721.38058772583,"Homogeneous"
0,0.126027397260274,1.45580029962795e-09,1.39156391931744e-09,2787.85878181302,"Homogeneous"
0,0.134246575342466,1.35483720847239e-09,9.68195505368708e-10,2848.77546521431,"Homogeneous"
0,0.142465753424658,4.35598155871684e-10,4.48699421178513e-10,2904.79084911363,"Homogeneous"
0,0.150684931506849,1.21861077809761e-09,1.29139913348819e-09,2956.46592440402,"Homogeneous"
0,0.158904109589041,6.47078239450958e-10,7.01833262268085e-10,3004.28021217035,"Homogeneous"
0,0.167123287671233,1.0021157556443e-09,1.13142956773283e-09,3048.64587665244,"Homogeneous"
0,0.175342465753425,7.50500447664593e-10,8.73089230850426e-10,3089.91903315743,"Homogeneous"
0,0.183561643835616,4.30597714970156e-10,5.04116714181081e-10,3128.4089969286,"Homogeneous"
0,0.191780821917808,-1.45012380533434e-11,1.58094470231591e-11,3164.38519571326,"Homogeneous"
0,0.2,7.34430066795897e-10,9.30204402614695e-10,3198.08398157942,"Homogeneous"
0.0416666666666667,0.00273972602739726,0.00621473614506353,0.00286097574063308,440.709357910817,"Homogeneous"
0.0416666666666667,0.010958904109589,7.51215124098338e-09,3.69835078750444e-09,811.150742077625,"Homogeneous"
0.0416666666666667,0.0191780821917808,1.37091952534493e-08,7.2219728916061e-09,1119.5669550145,"Homogeneous"
0.0416666666666667,0.0273972602739726,7.58078117651396e-10,4.18170480872913e-10,1379.56863317975,"Homogeneous"
0.0416666666666667,0.0356164383561644,5.77337183745644e-09,3.44428014494104e-09,1601.23889546455,"Homogeneous"
0.0416666666666667,0.0438356164383562,3.90539715631287e-09,2.46612094440516e-09,1792.15327140025,"Homogeneous"
0.0416666666666667,0.052054794520548,3.28099117408312e-09,2.18625930140668e-09,1958.08323746066,"Homogeneous"
0.0416666666666667,0.0602739726027397,2.45209755489778e-09,1.7193903804022e-09,2103.48502135571,"Homogeneous"
0.0416666666666667,0.0684931506849315,1.54250597797004e-09,1.13136514234904e-09,2231.84324308324,"Homogeneous"
0.0416666666666667,0.0767123287671233,2.01084792152458e-09,1.55005298594517e-09,2345.91523769741,"Homogeneous"
0.0416666666666667,0.0849315068493151,7.51774017835316e-10,5.89187373567805e-10,2447.90706243347,"Homogeneous"
0.0416666666666667,0.0931506849315069,2.21571207514103e-10,1.70448563317858e-10,2539.60188425361,"Homogeneous"
0.0416666666666667,0.101369863013699,1.21911767169892e-09,1.06726040517458e-09,2622.45479639705,"Homogeneous"
0.0416666666666667,0.10958904109589,1.49347499253997e-09,1.35883544658801e-09,2697.663671827,"Homogeneous"
0.0416666666666667,0.117808219178082,1.28917035070377e-09,1.21767148118008e-09,2766.2227177287,"Homogeneous"
0.0416666666666667,0.126027397260274,4.91980389009967e-10,4.81728153116722e-10,2828.96336679629,"Homogeneous"
0.0416666666666667,0.134246575342466,9.68117641340187e-10,9.81518806505925e-10,2886.58584839349,"Homogeneous"
0.0416666666666667,0.142465753424658,7.59184209638392e-10,7.97734901901572e-10,2939.68376379543,"Homogeneous"
0.0416666666666667,0.150684931506849,1.32486473168162e-09,1.43487584780192e-09,2988.76340771488,"Homogeneous"
0.0416666666666667,0.158904109589041,9.60925025189498e-10,1.07392430669782e-09,3034.25907708129,"Homogeneous"
0.0416666666666667,0.167123287671233,8.29672594464864e-10,9.50128105948365e-10,3076.54530335484,"Homogeneous"
0.0416666666666667,0.175342465753425,3.67204613264704e-10,4.45629287860544e-10,3115.94681751887,"Homogeneous"
0.0416666666666667,0.183561643835616,8.3077629117618e-10,1.0144525636517e-09,3152.74603130597,"Homogeneous"
0.0416666666666667,0.191780821917808,7.95067019871557e-10,9.98211743364456e-10,3187.19028356375,"Homogeneous"
0.0416666666666667,0.2,7.31337816415075e-10,9.43386264274145e-10,3219.49669253458,"Homogeneous"
0.0833333333333333,0.00273972602739726,5.1891379508489e-08,2.49254946481924e-08,689.338286829025,"Homogeneous"
0.0833333333333333,0.010958904109589,5.07687927760927e-09,2.61667731766786e-09,1018.30075872807,"Homogeneous"
0.0833333333333333,0.0191780821917808,2.98213979119078e-10,1.61272564478829e-10,1294.29409759483,"Homogeneous"
0.0833333333333333,0.0273972602739726,5.82089253774953e-09,3.40563888104205e-09,1528.60098147428,"Homogeneous"
0.0833333333333333,0.0356164383561644,3.93294630451353e-09,2.4487057139629e-09,1729.64110535709,"Homogeneous"
0.0833333333333333,0.0438356164383562,3.81410748715111e-09,2.49767379385085e-09,1903.78906380668,"Homogeneous"
0.0833333333333333,0.052054794520548,2.98140241285464e-09,2.0563217500085e-09,2055.93859364224,"Homogeneous"
0.0833333333333333,0.0602739726027397,3.08258082511075e-09,2.23353756384523e-09,2189.89640593843,"Homogeneous"
0.0833333333333333,0.0684931506849315,2.15469383524967e-09,1.63628295903621e-09,2308.66032492146,"Homogeneous"
0.0833333333333333,0.0767123287671233,1.71566171785531e-09,1.32802847966887e-09,2414.61836332156,"Homogeneous"
0.0833333333333333,0.0849315068493151,1.40005172154787e-09,1.16251184974694e-09,2509.69308481737,"Homogeneous"
0.0833333333333333,0.0931506849315069,8.06221844250568e-11,6.76761942115406e-11,2595.44762098106,"Homogeneous"
0.0833333333333333,0.101369863013699,9.53578225818026e-10,8.53872234355649e-10,2673.16449067705,"Homogeneous"
0.0833333333333333,0.10958904109589,1.28224742844359e-09,1.19658401853553e-09,2743.90488997641,"Homogeneous"
0.0833333333333333,0.117808219178082,1.51351647525303e-09,1.46489814709038e-09,2808.55376800936,"Homogeneous"
0.0833333333333333,0.126027397260274,4.48061120675776e-10,4.54626533766466e-10,2867.85448214497,"Homogeneous"
0.0833333333333333,0.134246575342466,4.74829797290618e-10,4.68994909169629e-10,2922.43567481199,"Homogeneous"
0.0833333333333333,0.142465753424658,1.12781361390456e-09,1.20886068571835e-09,2972.83232897538,"Homogeneous"
0.0833333333333333,0.150684931506849,9.30016651462012e-10,1.02891714238771e-09,3019.50239659634,"Homogeneous"
0.0833333333333333,0.158904109589041,1.01780859460441e-09,1.1612104677645e-09,3062.84004443958,"Homogeneous"
0.0833333333333333,0.167123287671233,9.36833478416546e-10,1.10112714259886e-09,3103.1864029186,"Homogeneous"
0.0833333333333333,0.175342465753425,1.04257751796962e-09,1.26123656298813e-09,3140.83766689635,"Homogeneous"
0.0833333333333333,0.183561643835616,9.85476363915542e-10,1.22629378330125e-09,3176.05268283353,"Homogeneous"
0.0833333333333333,0.191780821917808,9.23280095108941e-10,1.1806916008864e-09,3209.05885451439,"Homogeneous"
0.0833333333333333,0.2,8.96765720206917e-10,1.17763773978788e-09,3240.05551121785,"Homogeneous"
0.125,0.00273972602739726,2.10061240678133e-08,1.05809148218599e-08,910.262121047968,"Homogeneous"
0.125,0.010958904109589,8.88445234275477e-09,4.78540336834454e-09,1203.75844240556,"Homogeneous"
0.125,0.0191780821917808,7.6715986930807e-09,4.39999806598454e-09,1451.81088193898,"Homogeneous"
0.125,0.0273972602739726,5.58995478165482e-09,3.40124712461655e-09,1663.80451976114,"Homogeneous"
0.125,0.0356164383561644,4.19444512514496e-09,2.69850801755097e-09,1846.79825717315,"Homogeneous"
0.125,0.0438356164383562,2.82833299691793e-09,1.91827972957983e-09,2006.17879487092,"Homogeneous"
0.125,0.052054794520548,3.25719005108398e-09,2.32270582767829e-09,2146.11329302818,"Homogeneous"
0.125,0.0602739726027397,2.63228727975413e-09,1.96880894642483e-09,2269.86708983562,"Homogeneous"
0.125,0.0684931506849315,1.95309584333474e-09,1.52883129147054e-09,2380.02948460661,"Homogeneous"
0.125,0.0767123287671233,1.77810085579e-09,1.45361978560544e-09,2478.67646345206,"Homogeneous"
0.125,0.0849315068493151,2.0490858461853e-09,1.74654472112545e-09,2567.48951488482,"Homogeneous"
0.125,0.0931506849315069,1.76952747190932e-09,1.569761279777e-09,2647.84349345098,"Homogeneous"
0.125,0.101369863013699,1.74279794765368e-09,1.60704922615697e-09,2720.87237986176,"Homogeneous"
0.125,0.10958904109589,1.82892621936852e-10,1.7552976042765e-10,2787.51906868807,"Homogeneous"
0.125,0.117808219178082,1.58187327904981e-09,1.56798251821867e-09,2848.57344908773,"Homogeneous"
0.125,0.126027397260274,1.91609909449763e-10,1.95955358299688e-10,2904.70185937875,"Homogeneous"
0.125,0.134246575342466,1.24492731846852e-09,1.32021636532085e-09,2956.47005439233,"Homogeneous"
0.125,0.142465753424658,1.19781066184162e-09,1.31172107849986e-09,3004.36129187106,"Homogeneous"
0.125,0.150684931506849,1.28601788821805e-09,1.45275422667137e-09,3048.79069188567,"Homogeneous"
0.125,0.158904109589041,4.90366829285611e-10,5.7089326644087e-10,3090.11684591984,"Homogeneous"
0.125,0.167123287671233,1.14515145348617e-09,1.37269282096374e-09,3128.6505906562,"Homogeneous"
0.125,0.175342465753425,2.18333522428602e-10,2.9267785871922e-10,3164.663115972,"Homogeneous"
0.125,0.183561643835616,7.3370651261091e-10,9.3007572473387e-10,3198.39228387307,"Homogeneous"
0.125,0.191780821917808,8.6390196447564e-10,1.1248544167755e-09,3230.04634265615,"Homogeneous"
0.125,0.2,9.69496487058004e-10,1.29569429801486e-09,3259.80996878012,"Homogeneous"
0.166666666666667,0.00273972602739726,1.73993444521923e-09,9.15467279444403e-10,1107.46369585662,"Homogeneous"
0.166666666666667,0.010958904109589,8.52609218532754e-09,4.79172803741382e-09,1370.50412541843,"Homogeneous"
0.166666666666667,0.0191780821917808,4.72193444519211e-09,2.81868208207953e-09,1594.37184818868,"Homogeneous"
0.166666666666667,0.0273972602739726,3.89270669194757e-09,2.45958739086062e-09,1786.90501261732,"Homogeneous"
0.166666666666667,0.0356164383561644,7.91401508182695e-10,5.62956030812291e-10,1954.04730138173,"Homogeneous"
0.166666666666667,0.0438356164383562,3.63924431717179e-09,2.55339329829202e-09,2100.37040493112,"Homogeneous"
0.166666666666667,0.052054794520548,2.42829375715842e-09,1.78841414519178e-09,2229.4379695283,"Homogeneous"
0.166666666666667,0.0602739726027397,2.1429241714143e-10,1.50787601825081e-10,2344.06245347686,"Homogeneous"
0.166666666666667,0.0684931506849315,1.96597510406648e-09,1.58248020629534e-09,2446.48903821723,"Homogeneous"
0.166666666666667,0.0767123287671233,1.95555883906328e-09,1.64457897824697e-09,2538.52910634964,"Homogeneous"
0.166666666666667,0.0849315068493151,1.7389790034985e-09,1.52219867575231e-09,2621.65839922335,"Homogeneous"
0.166666666666667,0.0931506849315069,1.36782737520918e-09,1.24536748367173e-09,2697.0901050154,"Homogeneous"
0.166666666666667,0.101369863013699,1.08628018577508e-09,1.02685544262341e-09,2765.82992938682,"Homogeneous"
0.166666666666667,0.10958904109589,1.2143623889787e-09,1.18996735708382e-09,2828.71804247252,"Homogeneous"
0.166666666666667,0.117808219178082,1.33862817971406e-09,1.35811803319492e-09,2886.46137418625,"Homogeneous"
0.166666666666667,0.126027397260274,1.08170670754129e-09,1.13492894122882e-09,2939.65872172456,"Homogeneous"
0.166666666666667,0.134246575342466,1.14728718217373e-09,1.24345748362615e-09,2988.82044195435,"Homogeneous"
0.166666666666667,0.142465753424658,8.37478284773191e-10,9.36637141576572e-10,3034.38403467912,"Homogeneous"
0.166666666666667,0.150684931506849,8.85158033712448e-10,1.02055395277369e-09,3076.7265765332,"Homogeneous"
0.166666666666667,0.158904109589041,7.32109345742163e-12,8.53751391772276e-13,3116.17483416267,"Homogeneous"
0.166666666666667,0.167123287671233,3.01412111001202e-12,3.65888198124545e-12,3153.01286121568,"Homogeneous"
0.166666666666667,0.175342465753425,9.70023986487846e-10,1.21908025316491e-09,3187.48932629368,"Homogeneous"
0.166666666666667,0.183561643835616,2.72565627746779e-10,3.5906562574075e-10,3219.82243221297,"Homogeneous"
0.166666666666667,0.191780821917808,9.30356227921615e-10,1.23311379452468e-09,3250.204356846,"Homogeneous"
0.166666666666667,0.2,6.06642049477088e-10,8.24533561480821e-10,3278.80551952263,"Homogeneous"
0.208333333333333,0.00273972602739726,8.70661123881926e-09,4.7926733773202e-09,1284.27234645701,"Homogeneous"
0.208333333333333,0.010958904109589,5.54650825659543e-09,3.2465281578211e-09,1521.04105729041,"Homogeneous"
0.208333333333333,0.0191780821917808,4.30957246465302e-09,2.67335926306969e-09,1723.8819887956,"Homogeneous"
0.208333333333333,0.0273972602739726,1.38427782627813e-09,9.0856864569084e-10,1899.37026933747,"Homogeneous"
0.208333333333333,0.0356164383561644,3.06552902231649e-09,2.11502200046569e-09,2052.5328670406,"Homogeneous"
0.208333333333333,0.0438356164383562,2.86114312439775e-09,2.07439780066945e-09,2187.26693114744,"Homogeneous"
0.208333333333333,0.052054794520548,2.20468100924977e-09,1.67529604627758e-09,2306.63290044712,"Homogeneous"
0.208333333333333,0.0602739726027397,1.82639117982611e-09,1.4514694575333e-09,2413.06293223854,"Homogeneous"
0.208333333333333,0.0684931506849315,2.28396165153236e-09,1.89463255415525e-09,2508.51123217753,"Homogeneous"
0.208333333333333,0.0767123287671233,1.70745447507126e-09,1.48032640409731e-09,2594.5639600044,"Homogeneous"
0.208333333333333,0.0849315068493151,7.113504420805e-10,6.34788550744194e-10,2672.52062954018,"Homogeneous"
0.208333333333333,0.0931506849315069,1.33291549177982e-09,1.24472627159614e-09,2743.45513623251,"Homogeneous"
0.208333333333333,0.101369863013699,1.4125900560363e-09,1.3681684575117e-09,2808.2620419847,"Homogeneous"
0.208333333333333,0.10958904109589,1.32575114605412e-09,1.32974541461233e-09,2867.69204514313,"Homogeneous"
0.208333333333333,0.117808219178082,1.10242301020803e-09,1.14420194125605e-09,2922.37946130097,"Homogeneous"
0.208333333333333,0.126027397260274,9.9700169047641e-10,1.0693213285859e-09,2972.86369418871,"Homogeneous"
0.208333333333333,0.134246575342466,1.15492447802993e-09,1.27868027969781e-09,3019.60617084755,"Homogeneous"
0.208333333333333,0.142465753424658,1.31267750436759e-10,1.56907901423581e-10,3063.00381183226,"Homogeneous"
0.208333333333333,0.150684931506849,1.76257851776764e-11,2.04157715232226e-11,3103.39994444536,"Homogeneous"
0.208333333333333,0.158904109589041,9.15008548475498e-10,1.10788822763281e-09,3141.09253111715,"Homogeneous"
0.208333333333333,0.167123287671233,9.4445530480385e-10,1.17615423337511e-09,3176.34197960553,"Homogeneous"
0.208333333333333,0.175342465753425,5.50620884620708e-10,7.03864058609529e-10,3209.37645764089,"Homogeneous"
0.208333333333333,0.183561643835616,9.3721590321105e-10,1.23167966085573e-09,3240.39664455006,"Homogeneous"
0.208333333333333,0.191780821917808,8.52762590386062e-10,1.15011228909509e-09,3269.58024117962,"Homogeneous"
0.208333333333333,0.2,8.11172668806824e-10,1.12182878359319e-09,3297.08442573908,"Homogeneous"
